,COMMOPER,COD_CANT,ITEM,COMPOSITION,GROUPC,ACTIVITY,CONTRACTOR,CODE_AR,SUBCMC,UM,SPLITSUBC,INCIDENCE,ACTIVITY_QTA,LEADER_ACT,DATA_PROGR,QTA_PROGRESS,IDS,EARLYSTART,EARLYFINISH,ACHIEVED_SMH,SMH,ACHIEVED_EMH,EMH
314575,835057,S1,3920-PAU-018-A-05,LC0211,LC0211-1,LC021A,SCJV01,39G1,LC0211,M3,PAU-018,30,3.729,N,15/11/24,3.729,10128.0,30/08/24,31/10/24,2.486,2.486,3.025462,3.025462
343335,835057,S1,3930-FW-9032-SB-GA1_A,MC0214,MC0214-1,MC021A,SCJV01,10BA,MC0214,M,GENERAL,5,0.2635,N,01/11/24,0.2635,10665.0,11/03/25,14/06/25,0.2108,0.2108,0.303552,0.303552
306442,835057,S1,3910-SBS-633-A-03,LC1020,LC1020-1,LC102H,MEL001,39O1,LC1020,M3,MISCELLANEOUS,5,0.252,N,30/08/24,0.252,15969.0,31/01/25,24/04/25,1.4823529411764704,1.4823529411764704,1.8040235294117648,1.8040235294117648
20342,835057,S1,1000-PAR-023A-A-01,LC1020,LC1020-1,LC102B,MEL001,10BD,LC1020,M3,PAR-023A,12,1.8996,N,27/09/24,1.8996,10277.0,27/09/24,23/10/24,11.174117647058823,11.174117647058823,13.598901176470587,13.598901176470587
150354,835057,S1,2610-PAR-012-A-05,LC0211,LC0211-1,LC021A,SCJV01,26G3,LC0211,M3,PAR-012,30,6.714,N,16/08/24,6.714,10100.0,31/07/24,01/11/24,4.476,4.476,5.447292,5.447292
107299,835057,S1,2600-STORMWATERP-MH53-MH53A,LC0221,LC0221-1,LC022B,SCJV01,26G2,LC0221,M3,UG PIPING,35,103.159,N,22/11/24,103.159,13500.0,01/09/24,17/10/24,41.2636,41.2636,50.2178012,50.2178012
322142,835057,S1,4300-PAR-035-B-03,LC1010,LC1010-1,LC101B,MEL001,43UC,LC1010,M3,PAR-035,5,0.0165,N,19/07/24,0.0165,15898.0,01/09/24,07/10/24,0.0165,0.0165,0.0200805,0.0200805
330597,835057,S1,4300-PAR-008-E-01',LC1020,LC1020-1,LC102G,MEL001,43UD,LC1020,M3,PAR-008,5,0.1975,N,29/11/24,0.1975,10338.0,07/10/24,08/11/24,1.1617647058823528,1.1617647058823528,1.4138676470588236,1.4138676470588236
287649,835057,S1,3660-PAR-061-B-03,LC1020,LC1020-1,LC102A,WHIT01,36B1,LC1020,M3,PAR-061,18,2.1852,N,22/11/24,2.1852,10299.0,11/09/24,19/10/24,12.854117647058825,12.854117647058825,15.643461176470588,15.643461176470588
69145,835057,S1,1300-PAU-007-A-01,LC1020,LC1020-1,LC102B,MEL001,10BM,LC1020,M3,PAU-007,12,5.4468,N,06/12/24,2.66457456,10254.0,27/12/24,13/02/25,15.673968,32.04,19.075219056,38.99268
33128,835057,S1,1100-H-202-F19-3A-E2/A,LC1025,LC1025-1,LC125A,MEL001,10BG,LC1025,M3,1100-H-202,18,0.0972,N,06/12/24,0.0972,6166.0,23/12/24,17/01/25,0.7476923076923075,0.7476923076923075,0.9099415384615384,0.9099415384615384
321955,835057,S1,4300-PAR-035-A-08,LC0211,LC0211-1,LC021B,SCJV01,43UC,LC0211,M3,PAR-035,65,1.612,Y,08/11/24,1.4508,10134.0,01/09/24,02/11/24,0.9672,1.0746666666666667,1.1770824,1.307869333333333
228607,835057,S1,2710-PAR-052-A-04,LC1020,LC1020-1,LC102D,MEL001,27L1,LC1020,M3,PAR-052,15,4.8225,N,25/10/24,4.8225,10295.0,06/09/24,23/10/24,28.36764705882353,28.36764705882353,34.523426470588234,34.523426470588234
107302,835057,S1,2600-STORMWATERP-MH53-MH53A,LC0430,LC0430-1,LC043D,SCJV01,26G2,LC0430,M,UG PIPING,50,34.025,Y,15/11/24,34.025,13543.0,21/10/24,22/11/24,34.025,34.025,41.408425,41.408425
95473,835057,S1,2500-PAU-003A-A-06,LC1020,LC1020-1,LC102A,MEL001,25BS,LC1020,M3,PAU-003A,18,3.9744,N,06/12/24,3.9744,10265.0,17/03/25,29/04/25,23.378823529411765,23.378823529411765,28.45202823529412,28.45202823529412
318318,835057,S1,4200-STORMWATERP-CMH13C-CMH13B,LC0430,LC0430-1,LC043D,SCJV01,42G1,LC0430,M,UG PIPING,50,27.125,Y,13/09/24,27.125,13550.0,15/09/24,20/10/24,27.125,27.125,33.011125,33.011125
69053,835057,S1,1300-PAU-008-G-01,LC1020,LC1020-1,LC102D,MEL001,10BM,LC1020,M3,PAU-008,15,1.695,N,29/11/24,1.695,10255.0,15/01/25,01/03/25,9.970588235294116,9.970588235294116,12.13420588235294,12.13420588235294
227504,835057,S1,2710-PAU-216-A-04,LC1020,LC1020-1,LC102C,MEL001,27BM,LC1020,M3,PAU-216,9,2.6892,N,29/11/24,2.6892,6118.0,05/11/24,08/12/24,15.818823529411764,15.818823529411764,19.25150823529412,19.25150823529412
319611,835057,S1,4300-PAR-044-C-01,LC1020,LC1020-1,LC102A,WHIT01,43UC,LC1020,M3,PAR-044,18,1.1178,N,22/11/24,1.1178,10325.0,25/11/24,03/01/25,6.575294117647059,6.575294117647059,8.00213294117647,8.00213294117647
320615,835057,S1,4300-PAR-036-D-01,LC1020,LC1020-1,LC102D,MEL001,43UC,LC1020,M3,PAR-036,15,1.2225,N,09/08/24,1.2225,10317.0,06/10/24,07/11/24,7.1911764705882355,7.1911764705882355,8.751661764705881,8.751661764705881
358730,835057,S1,4300-PAR-058-C-01,LC1020,LC1020-1,LC102F,MEL001,43UC,LC1020,M3,PAR-058,6,0.4728,N,16/08/24,0.4728,10333.0,05/09/24,06/10/24,2.7811764705882354,2.7811764705882354,3.3846917647058823,3.3846917647058823
322180,835057,S1,4300-PAR-038-C-01,LC0211,LC0211-1,LC021A,SCJV01,43UC,LC0211,M3,PAR-038,30,3.288,N,26/07/24,3.288,10137.0,01/09/24,02/11/24,2.192,2.192,2.667664,2.667664
304532,835057,S1,3910-SBS-634-A-01,LC1020,LC1020-1,LC102C,MEL001,39O1,LC1020,M3,MISCELLANEOUS,9,0.1575,N,13/09/24,0.1575,15969.0,31/01/25,24/04/25,0.926470588235294,0.926470588235294,1.1275147058823527,1.1275147058823527
21727,835057,S1,1000-PAR-023B-A-04,LC1010,LC1010-1,LC101A,MEL001,10BD,LC1010,M3,PAR-023B,95,1.1115,Y,23/08/24,1.1115,10221.0,01/09/24,08/03/25,1.1115,1.1115,1.3526955,1.3526955
229224,835057,S1,2710-PAU-214-C-03,LC1010,LC1010-1,LC101B,MEL001,27BM,LC1010,M3,PAU-214,5,0.083,N,01/11/24,0.083,5856.0,23/08/24,25/11/24,0.083,0.083,0.101011,0.101011
227900,835057,S1,2710-PAR-016-B-02,LC1020,LC1020-1,LC102D,MEL001,27L1,LC1020,M3,PAR-016,15,2.331,N,25/10/24,2.331,10291.0,06/09/24,07/10/24,13.711764705882352,13.711764705882352,16.687217647058823,16.687217647058823
150394,835057,S1,2610-PAU-112-A-01,LC1020,LC1020-1,LC102B,MEL001,26BG,LC1020,M3,PAU-112,12,1.7568,N,22/11/24,1.7568,6093.0,27/11/24,06/01/25,10.334117647058823,10.334117647058823,12.576621176470589,12.576621176470589
22242,835057,S1,1000-PAR-026-F-02,LC0211,LC0211-1,LC021A,SCJV01,10BD,LC0211,M3,PAR-026,30,6.714,N,18/10/24,6.714,10092.0,01/09/24,14/01/25,4.476,4.476,5.447292,5.447292
95911,835057,S1,2500-PAR-022B-A-03,LC1020,LC1020-1,LC102D,MEL001,10BD,LC1020,M3,PAR-022B,15,5.739,N,04/10/24,5.739,10276.0,27/01/25,24/02/25,33.758823529411764,33.758823529411764,41.08448823529412,41.08448823529412
304996,835057,S1,3910-SBS-635-A-01,LC0211,LC0211-1,LC021A,SCJV01,39O1,LC0211,M3,MISCELLANEOUS,30,0.003,N,16/08/24,0.003,15825.0,12/07/24,11/09/24,0.002,0.002,0.0024339999999999,0.0024339999999999
324159,835057,S1,3930-FW-9287-SB-GA11_A,MC0214,MC0214-1,MC021D,SCJV01,37B2,MC0214,M,GENERAL,15,1.8105,Y,01/11/24,0.60343965,10670.0,22/05/25,21/06/25,0.48275172,1.4484,0.6951624768,2.085696
